Order ID,Order Date,Customer ID,Customer Name,Product Name,Product Category,Sub Category,Region,State,City,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode,Segment,Year,YearMonth,Latitude,Longitude
ORD-101024,2022-01-02,CUS-00682,Sarah Smith,Desk Organizer Bamboo,Office Supplies,Storage,Central,Missouri,Kansas City,33.29,6.04,1,0.1,13.19,Credit Card,Home Office,2022,2022-01,39.0997,-94.5786
ORD-102495,2022-01-02,CUS-00774,Melissa Lee,Desk Organizer Bamboo,Office Supplies,Storage,East,Virginia,Richmond,132.48,40.4,4,0.0,20.84,Credit Card,Consumer,2022,2022-01,37.5407,-77.436
ORD-103659,2022-01-03,CUS-00211,Timothy Sanchez,Bookshelf 5-Tier,Furniture,Bookcases,Central,Missouri,Kansas City,577.45,153.69,3,0.05,22.86,Credit Card,Home Office,2022,2022-01,39.0997,-94.5786
ORD-100317,2022-01-03,CUS-00021,George Hernandez,Bluetooth Headphones,Technology,Accessories,West,Oregon,Portland,521.89,116.74,4,0.1,24.33,Debit Card,Consumer,2022,2022-01,45.5152,-122.6784
ORD-104940,2022-01-03,CUS-00345,Cynthia Jackson,Ballpoint Pens Pack 12,Office Supplies,Art,Central,Missouri,Kansas City,16.29,-0.01,3,0.15,19.58,UPI,Corporate,2022,2022-01,39.0997,-94.5786
ORD-104154,2022-01-04,CUS-00197,Sarah Parker,Smartphone Case Premium,Technology,Phones,Central,Texas,Houston,56.44,-18.34,3,0.3,14.84,UPI,Consumer,2022,2022-01,29.7604,-95.3698
ORD-102821,2022-01-04,CUS-00603,Thomas Ramirez,Webcam HD 1080p,Technology,Accessories,Central,Texas,Dallas,67.62,14.75,1,0.1,13.88,Credit Card,Consumer,2022,2022-01,32.7767,-96.797
ORD-104766,2022-01-04,CUS-00151,Stephanie Scott,Toner Cartridge Black,Office Supplies,Appliances,Central,Wisconsin,Milwaukee,259.64,56.77,4,0.0,23.25,Credit Card,Home Office,2022,2022-01,43.0389,-87.9065
ORD-104246,2022-01-04,CUS-00459,Ryan Turner,Ballpoint Pens Pack 12,Office Supplies,Art,South,South Carolina,Charleston,6.29,-1.57,1,0.0,13.1,Debit Card,Corporate,2022,2022-01,32.7765,-79.9311
ORD-101105,2022-01-05,CUS-00256,Stephanie Young,Smartphone Case Premium,Technology,Phones,East,New Jersey,Newark,23.87,7.7,1,0.05,10.74,Credit Card,Consumer,2022,2022-01,40.7357,-74.1724
ORD-104330,2022-01-06,CUS-00548,Kevin Rodriguez,Sofa Sectional Gray,Furniture,Furnishings,West,California,San Diego,2390.75,420.23,3,0.1,28.86,Credit Card,Consumer,2022,2022-01,32.7157,-117.1611
ORD-100143,2022-01-06,CUS-00418,Karen Baker,Mechanical Keyboard RGB,Technology,Accessories,West,Washington,Seattle,70.91,16.66,1,0.15,11.14,Online,Home Office,2022,2022-01,47.6062,-122.3321
ORD-103294,2022-01-07,CUS-00523,Mark Evans,Tablet 10-inch,Technology,Computers,East,Florida,Orlando,2522.83,542.9,6,0.0,34.63,Online,Consumer,2022,2022-01,28.5383,-81.3792
ORD-102748,2022-01-07,CUS-00333,Andrew Anderson,Smartphone Case Premium,Technology,Phones,East,Florida,Miami,46.72,18.27,2,0.0,14.53,Credit Card,Corporate,2022,2022-01,25.7617,-80.1918
ORD-102021,2022-01-07,CUS-00333,Andrew Anderson,Webcam HD 1080p,Technology,Accessories,Central,Minnesota,Minneapolis,71.86,17.45,1,0.05,13.8,Credit Card,Corporate,2022,2022-01,44.9778,-93.265
ORD-100325,2022-01-08,CUS-00081,Kathleen Wilson,Tablet 10-inch,Technology,Computers,East,Virginia,Richmond,373.98,74.61,1,0.0,21.9,Credit Card,Home Office,2022,2022-01,37.5407,-77.436
ORD-103192,2022-01-09,CUS-00095,William Clark,Toner Cartridge Black,Office Supplies,Appliances,West,Colorado,Denver,74.33,13.55,1,0.0,14.39,Credit Card,Corporate,2022,2022-01,39.7392,-104.9903
ORD-104090,2022-01-09,CUS-00506,Shirley Williams,Sticky Notes Assorted,Office Supplies,Labels,East,Florida,Miami,24.2,6.08,4,0.0,17.21,Debit Card,Corporate,2022,2022-01,25.7617,-80.1918
ORD-104882,2022-01-09,CUS-00578,Laura White,Webcam HD 1080p,Technology,Accessories,East,Pennsylvania,Philadelphia,75.59,17.33,1,0.1,13.13,Credit Card,Consumer,2022,2022-01,39.9526,-75.1652
ORD-100414,2022-01-10,CUS-00042,Jonathan Carter,Wireless Charger Pad,Technology,Accessories,South,Oklahoma,Oklahoma City,145.29,47.87,4,0.05,20.96,Online,Consumer,2022,2022-01,35.4676,-97.5164
ORD-102119,2022-01-11,CUS-00504,Sarah Martinez,Stapler Heavy Duty,Office Supplies,Fasteners,Central,Ohio,Columbus,16.17,1.81,1,0.0,13.32,Online,Consumer,2022,2022-01,39.9612,-82.9988
ORD-100320,2022-01-11,CUS-00237,Gary Lewis,Bookshelf 5-Tier,Furniture,Bookcases,Central,Ohio,Cleveland,361.04,100.91,2,0.0,21.16,Online,Corporate,2022,2022-01,41.4993,-81.6944
ORD-101286,2022-01-12,CUS-00559,Paul Davis,Desk Organizer Bamboo,Office Supplies,Storage,Central,Michigan,Detroit,35.79,9.11,1,0.0,10.79,Credit Card,Corporate,2022,2022-01,42.3314,-83.0458
ORD-105165,2022-01-12,CUS-00502,Margaret Perez,Toner Cartridge Black,Office Supplies,Appliances,South,Louisiana,New Orleans,133.79,28.1,2,0.0,15.27,Online,Home Office,2022,2022-01,29.9511,-90.0715
ORD-100247,2022-01-12,CUS-00468,Steven Gonzalez,Tablet 10-inch,Technology,Computers,West,Arizona,Phoenix,1355.88,234.38,4,0.1,27.66,Debit Card,Consumer,2022,2022-01,33.4484,-112.074
