Order ID,Order Date,Ship Date,Customer Name,Customer ID,Product Name,Product Category,Sub Category,Region,Country,State,City,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode,Segment
ORD-101024,2022-01-02,2022-01-05,Sarah Smith,CUS-00682,Desk Organizer Bamboo,Office Supplies,Storage,Central,United States,Missouri,Kansas City,33.29,6.04,1,0.1,13.19,Credit Card,Home Office
ORD-102495,2022-01-02,2022-01-08,Melissa Lee,CUS-00774,Desk Organizer Bamboo,Office Supplies,Storage,East,United States,Virginia,Richmond,132.48,40.4,4,0.0,20.84,Credit Card,Consumer
ORD-103659,2022-01-03,2022-01-06,Timothy Sanchez,CUS-00211,Bookshelf 5-Tier,Furniture,Bookcases,Central,United States,Missouri,Kansas City,577.45,153.69,3,0.05,22.86,Credit Card,Home Office
ORD-100317,2022-01-03,2022-01-05,George Hernandez,CUS-00021,Bluetooth Headphones,Technology,Accessories,West,United States,Oregon,Portland,521.89,116.74,4,0.1,24.33,Debit Card,Consumer
ORD-104940,2022-01-03,2022-01-05,Cynthia Jackson,CUS-00345,Ballpoint Pens Pack 12,Office Supplies,Art,Central,United States,Missouri,Kansas City,16.29,-0.01,3,0.15,19.58,UPI,Corporate
ORD-104154,2022-01-04,2022-01-08,Sarah Parker,CUS-00197,Smartphone Case Premium,Technology,Phones,Central,United States,Texas,Houston,56.44,-18.34,3,0.3,14.84,UPI,Consumer
ORD-102821,2022-01-04,2022-01-06,Thomas Ramirez,CUS-00603,Webcam HD 1080p,Technology,Accessories,Central,United States,Texas,Dallas,67.62,14.75,1,0.1,13.88,Credit Card,Consumer
ORD-104766,2022-01-04,2022-01-06,Stephanie Scott,CUS-00151,Toner Cartridge Black,Office Supplies,Appliances,Central,United States,Wisconsin,Milwaukee,259.64,56.77,4,0.0,23.25,Credit Card,Home Office
ORD-104246,2022-01-04,2022-01-11,Ryan Turner,CUS-00459,Ballpoint Pens Pack 12,Office Supplies,Art,South,United States,South Carolina,Charleston,6.29,-1.57,1,0.0,13.1,Debit Card,Corporate
ORD-101105,2022-01-05,2022-01-09,Stephanie Young,CUS-00256,Smartphone Case Premium,Technology,Phones,East,United States,New Jersey,Newark,23.87,7.7,1,0.05,10.74,Credit Card,Consumer
ORD-104330,2022-01-06,2022-01-10,Kevin Rodriguez,CUS-00548,Sofa Sectional Gray,Furniture,Furnishings,West,United States,California,San Diego,2390.75,420.23,3,0.1,28.86,Credit Card,Consumer
ORD-100143,2022-01-06,2022-01-08,Karen Baker,CUS-00418,Mechanical Keyboard RGB,Technology,Accessories,West,United States,Washington,Seattle,70.91,16.66,1,0.15,11.14,Online,Home Office
ORD-103294,2022-01-07,2022-01-10,Mark Evans,CUS-00523,Tablet 10-inch,Technology,Computers,East,United States,Florida,Orlando,2522.83,542.9,6,0.0,34.63,Online,Consumer
ORD-102748,2022-01-07,2022-01-10,Andrew Anderson,CUS-00333,Smartphone Case Premium,Technology,Phones,East,United States,Florida,Miami,46.72,18.27,2,0.0,14.53,Credit Card,Corporate
ORD-102021,2022-01-07,2022-01-10,Andrew Anderson,CUS-00333,Webcam HD 1080p,Technology,Accessories,Central,United States,Minnesota,Minneapolis,71.86,17.45,1,0.05,13.8,Credit Card,Corporate
ORD-100325,2022-01-08,2022-01-14,Kathleen Wilson,CUS-00081,Tablet 10-inch,Technology,Computers,East,United States,Virginia,Richmond,373.98,74.61,1,0.0,21.9,Credit Card,Home Office
ORD-103192,2022-01-09,2022-01-13,William Clark,CUS-00095,Toner Cartridge Black,Office Supplies,Appliances,West,United States,Colorado,Denver,74.33,13.55,1,0.0,14.39,Credit Card,Corporate
ORD-104090,2022-01-09,2022-01-13,Shirley Williams,CUS-00506,Sticky Notes Assorted,Office Supplies,Labels,East,United States,Florida,Miami,24.2,6.08,4,0.0,17.21,Debit Card,Corporate
ORD-104882,2022-01-09,2022-01-12,Laura White,CUS-00578,Webcam HD 1080p,Technology,Accessories,East,United States,Pennsylvania,Philadelphia,75.59,17.33,1,0.1,13.13,Credit Card,Consumer
